Address,Date,Genre,Performer,Venue
"Krakow,Poland","Thursday, July 20, 2023,| 06:00PM,",Pop Music / Soft Rock,Sting,Tauron Arena Krakow
"Wroclaw,Poland","Friday, July 21, 2023,| 08:00PM,",Electronic Music / Dance,Morcheeba,Centrum Koncertowe A2
"Slupsk,Poland","Saturday, July 22, 2023,| 10:00PM,",Hard Rock / Heavy Metal,Hollywood Vampires,Dolina Charlotty
"Chorzow,Poland","Sunday, July 30, 2023,| 05:00PM,",Hard Rock / Heavy Metal,Rammstein,Silesian Stadium
"Katowice,Poland","Sunday, July 23, 2023,| 06:00PM,",Hard Rock / Heavy Metal,Megadeth,Hala Spodek
"Gdynia,Poland","Sunday, July 23, 2023,| 08:00PM,",Jazz / Blues,The Manhattan Transfer,Teatr Muzyczny im Danuty Baduszkowej
"Katowice,Poland","Sunday, July 30, 2023,| 07:00PM,",Jazz / Blues,Gregory Porter,NOSPR
"Katowice,Poland","Monday, July 31, 2023,| 08:00PM,",Hard Rock / Heavy Metal,Dying Fetus,P23
"Chorzow,Poland","Monday, July 31, 2023,| 05:00PM,",Hard Rock / Heavy Metal,Rammstein,Silesian Stadium
"Krakow,Poland","Thursday, August 03, 2023,| 07:00PM,",Punk / Garage Rock,Agnostic Front,Kwadrat
"Al. Ksiecia J. Poniatowskiego 1,Warsaw,Poland","Wednesday, August 02, 2023,| 05:00PM,",Electronic Music / Dance,Depeche Mode,National Stadium
"Krakow,Poland","Friday, August 04, 2023,| 06:00PM,",Electronic Music / Dance,Depeche Mode,Tauron Arena Krakow
"ul. Żwirki i Wigury 99a,Warsaw,Poland","Tuesday, August 01, 2023,| 08:00PM,",Hard Rock / Heavy Metal,Dying Fetus,Proxima
"Krakow,Poland","Monday, August 07, 2023,| 07:00PM,",Hard Rock / Heavy Metal,Beartooth,Klub Studio
"Wroclaw,Poland","Tuesday, August 08, 2023,| 08:00PM,",Electronic Music / Dance,Still Corners,Stary Klasztor - Sala Gotycka
"Al. Ksiecia J. Poniatowskiego 1,Warsaw,Poland","Wednesday, August 09, 2023,| 05:00PM,",Soul / R&B,The Weeknd,National Stadium
"Krakow,Poland","Tuesday, August 08, 2023,| 07:30PM,",Hard Rock / Heavy Metal,"Archspire,Fit for an Autopsy",Kwadrat
"Poznan,Poland","Wednesday, August 09, 2023,| 08:00PM,",Electronic Music / Dance,Still Corners,Tama
"ul. Złota 7/9,Warsaw,Poland","Wednesday, August 09, 2023,| 07:30PM,",Hard Rock / Heavy Metal,Archspire,Hybrydy
"Chorzow,Poland","Wednesday, August 09, 2023 - Sun, August 13, 2023",Festival,"Kasabian,Two Door Cinema Club,Bonobo,AJR,Yungblud",Park Śląski
"ul. Żwirki i Wigury 99a,Warsaw,Poland","Thursday, August 10, 2023,| 08:00PM,",Electronic Music / Dance,Still Corners,Proxima
"Warsaw,Poland","Saturday, August 12, 2023",Hard Rock / Heavy Metal,The Fall of Troy,Voodoo Club
"ul. Fort Wola 22,Warsaw,Poland","Sunday, August 13, 2023",Alternative Rock / Indie,BoyWithUke,Klub Progresja
"Al. Ksiecia J. Poniatowskiego 1,Warsaw,Poland","Monday, August 14, 2023,| 05:00PM,",Alternative Rock / Indie,Imagine Dragons,National Stadium
"Warsaw,Poland","Wednesday, August 16, 2023,| 08:00PM,",Alternative Rock / Indie,Alt-J,Letnia Scena Progresji
"ul. Fort Wola 22,Warsaw,Poland","Thursday, August 24, 2023",Pop Music / Soft Rock,Conor Maynard,Klub Progresja
